"Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"TENDER LOVING CARE ALF","MIAMI","Miami-Dade","6","0","2","$375.00","8","0","1","5","1","1","1","3rd Party 24hr","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"TEQUESTA TERRACE","TEQUESTA","Palm Beach","106","1","1","$1,000.00","9","0","0","7","0","2","1","Direct 24hr","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"TERESITA ALF INC","MIAMI","Miami-Dade","6","0","0","$0.00","10","0","0","10","0","0","1","None","5","Arts and Crafts|Games/Cards|Gardening|Music Programs|Social Events/Outings","NR","NR"
"TERRACINA GRAND","NAPLES","Collier","200","0","1","$30,000.00","7","3","0","4","0","0","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy"
"TGL RESIDENCE ALF","MIAMI","Miami-Dade","9","0","2","$350.00","16","0","0","15","1","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"THANDI'S RESIDENTIAL ASSISTED LIVING","FORT MYERS","Lee","9","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"THE ACACIA AT MEASE LIFE","DUNEDIN","Pinellas","122","0","0","$0.00","9","0","0","8","1","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","7","Audiology|Massage Therapy/Spa|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE ANGEL'S AGE II","MIAMI","Miami-Dade","6","0","0","$0.00","3","0","0","3","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"THE ARBOR AT DELRAY","DELRAY BEACH","Palm Beach","120","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"THE ARC OF PUTNAM COUNTY INC","PALATKA","Putnam","9","0","0","$0.00","0","0","0","0","0","0","NR","NR","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Shopping|Social Events/Outings|Theater and Movies|Other","NR","NR"
"THE ARC OF PUTNAM COUNTY, INC","PALATKA","Putnam","14","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"THE ARC OF PUTNAM COUNTY, INC","PALATKA","Putnam","14","0","0","$0.00","0","0","0","0","0","0","1","None","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"THE BARRINGTON","LARGO","Pinellas","95","4","0","$0.00","1","0","0","1","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","5","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE BEACON AT GULF BREEZE","GULF BREEZE","Santa Rosa","120","5","1","$5,000.00","9","0","1","8","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Memory Care|Occupational Therapy|Physical Therapy"
"THE BEST ALF, LLC","SPRING HILL","Hernando","6","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"THE BLAKE AT LPGA","DAYTONA BEACH","Volusia","137","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","6","Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"THE BLAKE AT PENSACOLA","PENSACOLA","Escambia","131","3","5","$15,000.00","6","0","1","3","0","2","3","Direct 24hr|Direct Part-Time|3rd Party Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"THE BLAKE AT VIERA","MELBOURNE","Brevard","111","1","0","$0.00","3","0","1","2","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","2","Water Therapy|Other"
"THE BRENNITY AT TRADITION","PORT ST LUCIE","St. Lucie","97","2","0","$0.00","3","0","0","1","2","0","1","Direct 24hr","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","7","Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE BRENNITY AT VERO BEACH","VERO BEACH","Indian River","113","0","0","$0.00","9","0","0","8","1","0","1","Direct 24hr","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","7","Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"THE BRIDGE AT INVERRARY","LAUDERHILL","Broward","120","3","2","$750.00","6","0","0","3","0","3","1","Direct 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"THE BRIDGES","RIVERVIEW","Hillsborough","101","3","1","$0.00","10","0","0","10","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"THE BROADMOOR ALF","FORT PIERCE","St. Lucie","55","0","1","$3,500.00","6","0","1","2","3","0","1","None","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies|Yoga","1","Memory Care"
