"Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"MIAMI ASTURIAS HOME INC","MIAMI","Miami-Dade","6","1","5","$11,500.00","9","1","0","8","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"MIAMI COMFORT COVE INC","MIAMI","Miami-Dade","14","1","2","$900.00","9","0","0","8","0","1","1","None","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Social Events/Outings|Theater and Movies","NR","NR"
"MIAMI GARDENS MANOR, INC","MIAMI GARDENS","Miami-Dade","6","0","4","$2,500.00","4","0","0","4","0","0","2","Direct 24hr|Direct Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Other"
"MIAMI LAKES RETIREMENT HOME","HIALEAH","Miami-Dade","6","0","0","$0.00","1","0","0","1","0","0","1","None","6","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","NR","NR"
"MIAMI LAKES SENIOR CARE, INC.","MIAMI LAKES","Miami-Dade","6","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","5","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"MIAMI SPRINGS ASSISTED LIVING","MIAMI SPRINGS","Miami-Dade","60","1","3","$500.00","4","0","0","3","1","0","NR","NR","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"MIAMI-DADE COUNTY","MIAMI","Miami-Dade","101","3","4","$2,900.00","10","0","1","9","0","0","1","3rd Party 24hr","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Other"
"MICASA SENIOR LIVING","HOLLYWOOD","Broward","44","2","0","$0.00","2","0","0","2","0","0","1","3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"MICHT CORP","TAMPA","Hillsborough","8","1","0","$0.00","1","0","0","1","0","0","1","None","7","Arts and Crafts|Cooking Classes|Dancing|Games/Cards|Gardening|Music Programs|Theater and Movies","NR","NR"
"MIDTOWN ASSISTED LIVING RESIDENCE","HOLLYWOOD","Broward","105","8","7","$6,500.00","21","0","0","19","1","1","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Games/Cards|Gardening|Social Events/Outings|Theater and Movies","NR","NR"
"MIDWAY MANOR ALF","CLEARWATER","Pinellas","50","9","1","$1,000.00","10","0","0","10","0","0","1","None","7","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"MIDWAY RETIREMENT RESIDENCE","MIAMI","Miami-Dade","12","0","2","$2,500.00","7","0","0","7","0","0","1","None","2","Games/Cards|Shopping","NR","NR"
"MILLER HEIGHTS HOME","MIAMI","Miami-Dade","6","0","0","$0.00","1","0","0","1","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"MILLER RETIREMENT HOME","MIAMI","Miami-Dade","6","0","1","$3,750.00","7","0","1","6","0","0","1","None","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"MILLER'S ADULT HOME CARE, LLC","ORANGE PARK","Clay","6","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","5","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Theater and Movies","1","Other"
"MILLY'S FAMILY HOME LLC.","MIAMI","Miami-Dade","6","1","0","$0.00","4","0","0","4","0","0","1","None","4","Arts and Crafts|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"MILY'S SWEET HOME ALF INC","TAMPA","Hillsborough","5","0","0","$0.00","1","0","0","0","1","0","2","Direct 24hr|Direct Part-Time","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","2","Memory Care|Pet Therapy"
"MIMAS MEADOW HOME LLC","MIAMI","Miami-Dade","6","2","2","$4,500.00","14","0","2","11","0","1","1","None","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Social Events/Outings","NR","NR"
"MINNEOLA PLACE, A HOMEBRIDGE COMMUNITY ASSISTED LIVING","MINNEOLA","Lake","32","0","2","$0.00","2","0","0","2","0","0","1","3rd Party 24hr","6","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Shopping|Theater and Movies","1","Pet Therapy"
"MIRABELLE","MIAMI","Miami-Dade","87","2","0","$0.00","9","0","0","9","0","0","1","Direct 24hr","8","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"MIRACLE ALF","TAMPA","Hillsborough","6","0","0","$0.00","0","0","0","0","0","0","1","None","3","Arts and Crafts|Exercise Classes|Games/Cards","NR","NR"
"MIRAMAR SENIOR LIVING III","MIAMI","Miami-Dade","6","0","3","$1,800.00","9","0","1","7","1","0","1","3rd Party 24hr","7","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs","NR","NR"
"MIRAMAR SENIOR LIVING IV, INC","MIAMI","Miami-Dade","6","0","5","$8,150.00","12","0","1","10","0","1","1","3rd Party 24hr","6","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening","NR","NR"
"MIRAMAR SENIOR LIVING VI","MIAMI","Miami-Dade","6","0","0","$0.00","9","0","0","9","0","0","1","Direct 24hr","7","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs","NR","NR"
"MIRELLA'S ASSISTED LIVING, LLC","TAMPA","Hillsborough","8","0","0","$0.00","13","0","0","13","0","0","1","Direct 24hr","5","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Theater and Movies","2","Memory Care|Pet Therapy"
"MIS ABUELOS HOME CARE CORP","TAMPA","Hillsborough","6","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","8","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"MIS DIAS DORADOS ALF, INC","MIAMI","Miami-Dade","6","0","0","$0.00","3","0","0","3","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"MISSION OAKS ASSISTED LIVING AND MEMORY CARE","OXFORD","Sumter","101","0","0","$0.00","3","0","0","0","3","0","1","Direct 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"MISTER AMADEO'S RETIREMENT HOME INC","MIAMI","Miami-Dade","6","1","0","$0.00","2","0","0","2","0","0","1","None","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening","NR","NR"
"ML WILLOW HAVEN ALF","MIAMI","Miami-Dade","6","0","4","$9,000.00","10","0","1","8","0","1","1","None","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening","NR","NR"
"MOLLY'S CARE HOME LLC","OCKLAWAHA","Marion","51","1","5","$6,500.00","16","0","1","11","0","4","1","Direct 24hr","6","Arts and Crafts|Dancing|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"MOM & DAUGHTER HOME CARE ALF, INC","MIAMI","Miami-Dade","6","1","1","$400.00","3","0","0","2","0","1","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","2","Occupational Therapy|Physical Therapy"
"MONHER ALF CORP","HOMESTEAD","Miami-Dade","6","2","2","$7,750.00","9","0","2","7","0","0","1","None","3","Arts and Crafts|Games/Cards|Music Programs","NR","NR"
"MONICA'S ALF","MIAMI","Miami-Dade","6","0","0","$0.00","2","0","0","2","0","0","1","None","5","Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings","NR","NR"
"MONTE OLIVO ADULT CARE","MIAMI","Miami-Dade","6","0","7","$9,400.00","18","0","1","16","0","1","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"MOONSHINE ALF LLC","MIAMI","Miami-Dade","6","0","0","$0.00","19","0","0","17","1","1","1","None","6","Arts and Crafts|Dancing|Games/Cards|Gardening|Music Programs|Social Events/Outings","2","Occupational Therapy|Physical Therapy"
"MOORE CARE ASSISTED LIVING FACILITY, LLC","RIVIERA BEACH","Palm Beach","10","0","1","$2,000.00","0","0","0","0","0","0","1","Direct 24hr","5","Arts and Crafts|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings","2","Occupational Therapy|Physical Therapy"
"MOORINGS PARK OAKSTONE AT GREY OAKS","NAPLES","Collier","50","0","0","$0.00","1","0","0","1","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","6","Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"MORNINGSIDE HOUSE OF SARASOTA","SARASOTA","Sarasota","68","1","0","$0.00","2","0","0","1","0","1","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"MORNINGSIDE MANOR & VILLA ADULT CARE CORP","MIAMI SPRINGS","Miami-Dade","6","0","1","$500.00","8","0","0","8","0","0","1","None","3","Arts and Crafts|Games/Cards|Social Events/Outings","NR","NR"
"MORR YOUNG LLC","TAMARAC","Broward","6","0","0","$0.00","2","0","0","1","1","0","1","None","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"MORRISONS ADULT LIVING FACILITY LLC","TAMPA","Hillsborough","4","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"MORSELIFE MEMORY CARE RESIDENCE","WEST PALM BCH","Palm Beach","218","2","0","$0.00","1","0","0","1","0","0","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies|Yoga","8","Audiology|Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"MP DIVERSIFIED SERVICES CORP","MIAMI","Miami-Dade","12","0","1","$750.00","4","0","1","3","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"MRM BOARDING HOME","PINELLAS PARK","Pinellas","8","1","0","$0.00","4","0","0","4","0","0","2","Direct 24hr|Direct Part-Time","4","Dancing|Games/Cards|Shopping|Theater and Movies","2","Occupational Therapy|Physical Therapy"
"MUNDI HOME LLC","MIAMI","Miami-Dade","6","0","0","$0.00","1","0","0","1","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"MURIEL MANOR ASSISTED LIVING FACILITY INC","SAINT PETERSBURG","Pinellas","16","1","2","$1,000.00","18","0","0","17","0","1","NR","NR","NR","NR","NR","NR"
"MY DREAM ALF LLC","MIAMI","Miami-Dade","5","0","1","$500.00","8","0","0","8","0","0","1","3rd Party Part-Time","5","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Theater and Movies","NR","NR"
"MY GRANDFATHER HOME CARE","MIAMI","Miami-Dade","6","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs","2","Occupational Therapy|Physical Therapy"
"MY LIVING CARE INC","HOMESTEAD","Miami-Dade","6","0","0","$0.00","1","0","0","1","0","0","1","None","5","Arts and Crafts|Dancing|Games/Cards|Gardening|Social Events/Outings","NR","NR"
"MY MOM'S HOME ALF LLC","TAMPA","Hillsborough","6","1","0","$0.00","0","0","0","0","0","0","1","None","7","Arts and Crafts|Dancing|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"MY MOM'S HOME ALF WEST TAMPA LLC","TAMPA","Hillsborough","6","0","0","$0.00","0","0","0","0","0","0","1","None","5","Arts and Crafts|Games/Cards|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"MY SWEET HOME","MIAMI","Miami-Dade","6","0","2","$500.00","16","0","0","15","0","1","1","None","5","Arts and Crafts|Dancing|Games/Cards|Gardening|Social Events/Outings","NR","NR"
"MY SWEET HOME II, INC","MIAMI","Miami-Dade","6","0","0","$0.00","4","0","0","4","0","0","1","None","5","Arts and Crafts|Dancing|Games/Cards|Gardening|Social Events/Outings","NR","NR"
"MYP SENDERO DE FE HOME CARE, INC","MIAMI","Miami-Dade","6","0","0","$0.00","3","0","0","3","0","0","1","None","4","Arts and Crafts|Exercise Classes|Games/Cards|Social Events/Outings","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"MYRTLE'S HAVEN LLC","PALM BAY","Brevard","6","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"N DREAM ALF LLC","MIAMI","Miami-Dade","6","1","5","$23,420.00","19","1","3","14","0","1","1","None","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Theater and Movies","NR","NR"
"NAINA'S ANGELIC HANDS ASSISTED LIVING LLC","PORT SAINT LUCIE","St. Lucie","6","0","0","$0.00","0","0","0","0","0","0","1","None","5","Arts and Crafts|Dancing|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"NAMI HOME 2 INC","PEMBROKE PINES","Broward","6","0","0","$0.00","1","0","0","1","0","0","2","Direct 24hr|3rd Party 24hr","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"NAMI HOME, INC.","PEMBROKE PINES","Broward","6","0","0","$0.00","1","0","0","1","0","0","1","3rd Party 24hr","6","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening","NR","NR"
"NANCY DENGLER HOUSE, THE","JENNINGS","Hamilton","12","0","0","$0.00","0","0","0","0","0","0","1","None","4","Arts and Crafts|Games/Cards|Shopping|Social Events/Outings","NR","NR"
"NANCY'S HOME CARE LLC","MIAMI","Miami-Dade","6","0","2","$2,500.00","10","0","1","9","0","0","1","None","4","Arts and Crafts|Games/Cards|Music Programs|Social Events/Outings","NR","NR"
"NAPLES CARE INC","NAPLES","Collier","6","1","1","$3,750.00","12","0","1","11","0","0","1","None","4","Dancing|Exercise Classes|Games/Cards|Gardening","NR","NR"
"NAPLES GREEN VILLAGE","NAPLES","Collier","87","13","4","$11,000.00","30","0","2","26","1","1","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"NATALIA ALF INC","MIAMI","Miami-Dade","6","0","1","$500.00","4","0","0","4","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Games/Cards|Shopping|Social Events/Outings|Theater and Movies|Other","3","Massage Therapy/Spa|Occupational Therapy|Physical Therapy"
"NATES HEALTH SERVICES LLC","PORT SAINT LUCIE","St. Lucie","6","0","0","$0.00","0","0","0","0","0","0","1","Direct Part-Time","5","Arts and Crafts|Games/Cards|Music Programs|Shopping|Social Events/Outings","NR","NR"
"NATIONAL CHURCH RESIDENCES OF BRADENTON FL INC","BRADENTON","Manatee","80","4","2","$800.00","21","0","0","21","0","0","1","Direct Part-Time","9","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","6","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"NAVAL CONTINUING CARE RETIREMENT FOUNDATION, INC.","ATLANTIC BEACH","Duval","150","0","0","$0.00","2","0","0","2","0","0","2","Direct Part-Time|3rd Party Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","7","Audiology|Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"NAVARRE GARDENS ASSISTED LIVING FACILITY","NAVARRE","Santa Rosa","47","0","0","$0.00","2","0","0","2","0","0","2","Direct Part-Time|3rd Party Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Pet Therapy"
"NAVARRE GARDENS, LLC","NAVARRE","Santa Rosa","75","0","0","$0.00","0","0","0","0","0","0","1","3rd Party Part-Time","9","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Social Events/Outings|Theater and Movies|Yoga","1","Pet Therapy"
"NEGRIN HOME INC, THE","MIAMI","Miami-Dade","6","1","2","$5,500.00","16","0","2","14","0","0","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs","2","Occupational Therapy|Physical Therapy"
"NENA'S ON THE LAKE ALF, LLC","LAUDERHILL","Broward","6","0","1","$900.00","4","0","0","2","0","2","1","None","4","Arts and Crafts|Dancing|Games/Cards|Theater and Movies","5","Massage Therapy/Spa|Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"NEPTUNE MANOR CARE HOME ALF","KISSIMMEE","Osceola","6","0","4","$11,500.00","24","0","2","22","0","0","1","3rd Party Part-Time","5","Arts and Crafts|Exercise Classes|Games/Cards|Shopping|Social Events/Outings","NR","NR"
"NESLY HOME CARE,LLC","MIAMI","Miami-Dade","6","0","1","$1,000.00","9","0","1","8","0","0","1","3rd Party Part-Time","4","Arts and Crafts|Games/Cards|Music Programs|Social Events/Outings","2","Occupational Therapy|Physical Therapy"
"NEULIFE REHABILITATION OF FLORIDA, INC","MOUNT DORA","Lake","16","0","0","$0.00","2","0","0","2","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"NEUROINTERNATIONAL HEALTHCARE, LLC","SARASOTA","Sarasota","16","7","0","$0.00","7","0","0","3","3","1","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Massage Therapy/Spa|Occupational Therapy|Physical Therapy|Speech Therapy"
"NEUROINTERNATIONAL HEALTHCARE, LLC","SARASOTA","Sarasota","10","2","2","$10,400.00","7","0","2","3","1","1","1","Direct 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"NEUROINTERNATIONAL HEALTHCARE, LLC","BRADENTON","Manatee","6","5","1","$4,000.00","6","0","1","5","0","0","1","3rd Party Part-Time","10","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Massage Therapy/Spa|Occupational Therapy|Physical Therapy|Speech Therapy"
"NEUROINTERNATIONAL HEALTHCARE, LLC","SARASOTA","Sarasota","6","2","0","$0.00","10","0","0","9","0","1","1","Direct 24hr","7","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Music Programs|Shopping|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"NEUROINTERNATIONAL HEALTHCARE, LLC","SARASOTA","Sarasota","6","2","0","$0.00","8","0","0","7","1","0","1","Direct 24hr","7","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Music Programs|Shopping|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"NEUROINTERNATIONAL HEALTHCARE, LLC","SARASOTA","Sarasota","6","3","0","$0.00","5","0","0","4","0","1","1","Direct 24hr","7","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Music Programs|Shopping|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"NEUROINTERNATIONAL HEALTHCARE, LLC","SARASOTA","Sarasota","6","3","0","$0.00","2","0","0","2","0","0","1","Direct 24hr","7","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Music Programs|Shopping|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"NEUROINTERNATIONAL HEALTHCARE, LLC","SARASOTA","Sarasota","4","1","1","$5,000.00","2","0","1","1","0","0","1","Direct 24hr","7","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Music Programs|Shopping|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"NEUROINTERNATIONAL HEALTHCARE, LLC","SARASOTA","Sarasota","6","0","0","$0.00","0","0","0","0","0","0","NR","NR","NR","NR","NR","NR"
"NEURORESTORATIVE FLORIDA","SARASOTA","Manatee","6","1","0","$0.00","3","0","0","3","0","0","1","Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","1","Pet Therapy"
"NEURORESTORATIVE FLORIDA","SARASOTA","Manatee","6","1","0","$0.00","3","0","0","3","0","0","1","Direct Part-Time","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","1","Pet Therapy"
"NEW DIMENSION FAMILY CARE INC","PORT SAINT LUCIE","St. Lucie","6","0","1","$0.00","16","0","0","15","1","0","1","3rd Party Part-Time","6","Arts and Crafts|Dancing|Games/Cards|Gardening|Music Programs|Shopping","NR","NR"
"NEW ERA","LAKELAND","Polk","60","5","5","$4,250.00","13","0","1","12","0","0","1","None","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","1","Other"
"NEW ERA COMMUNITY HEALTH CENTER LLC","HOMESTEAD","Miami-Dade","200","6","4","$6,500.00","9","1","0","8","0","0","1","None","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"NEW HOME SENIOR CARE, INC","HIALEAH","Miami-Dade","6","0","1","$500.00","7","0","0","6","1","0","1","None","5","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening","NR","NR"
"NEW HOPE A.L.F., INC.","MIAMI","Miami-Dade","14","0","0","$0.00","2","0","0","2","0","0","1","None","5","Arts and Crafts|Dancing|Games/Cards|Gardening|Social Events/Outings","NR","NR"
"NEW HORIZON ASSISTED LIVING INC","HOMESTEAD","Miami-Dade","6","1","0","$0.00","14","0","0","14","0","0","1","3rd Party Part-Time","5","Arts and Crafts|Games/Cards|Gardening|Music Programs|Shopping","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"NEW HORIZON LIVING","MIAMI","Miami-Dade","14","1","1","$500.00","12","0","0","12","0","0","2","3rd Party 24hr|3rd Party Part-Time","5","Arts and Crafts|Dancing|Games/Cards|Shopping|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"NEW HORIZON NORTH","TAMARAC","Broward","6","2","0","$0.00","8","0","0","8","0","0","2","Direct 24hr|3rd Party Part-Time","9","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies|Other","3","Memory Care|Occupational Therapy|Physical Therapy"
"NEW HORIZON SENIOR CITIZEN HOME","INVERNESS","Citrus","68","0","0","$0.00","0","0","0","0","0","0","2","Direct Part-Time|3rd Party Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","5","Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"NEW HORIZON SHARE HOME","WINTER HAVEN","Polk","60","1","0","$0.00","2","0","0","1","0","1","1","3rd Party 24hr","6","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Pet Therapy|Physical Therapy"
"NEW HORIZONS GROUP HOMES INC","BRANDON","Hillsborough","20","1","1","$500.00","3","0","0","1","1","1","1","None","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","1","Pet Therapy"
"NEW JOURNEYS RESIDENTIAL HOME CARE","TALLAHASSEE","Leon","6","0","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"NEW LIFE ASSISTED LIVING FACILITY","PORT ST LUCIE","St. Lucie","6","0","2","$700.00","3","0","0","1","1","1","1","None","8","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"NEW MELODY SL LLC","ORLANDO","Orange","6","0","0","$0.00","2","0","0","1","1","0","NR","NR","NR","NR","NR","NR"
"NEW MILLENNIUM ADULT CARE III","MIAMI","Miami-Dade","14","0","0","$0.00","6","0","0","6","0","0","1","3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","2","Occupational Therapy|Physical Therapy"
"NEW PARADISE INC","MIAMI","Miami-Dade","6","0","1","$3,750.00","6","0","1","5","0","0","1","None","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","NR","NR"
"NEW WORLD ACLF","HIALEAH","Miami-Dade","6","0","0","$0.00","3","0","0","3","0","0","1","None","4","Arts and Crafts|Games/Cards|Gardening|Music Programs","NR","NR"
"NICOLE'S FAMILY HOME ALF LLC","MIAMI","Miami-Dade","6","0","0","$0.00","2","0","0","2","0","0","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
"NIGHTINGALE MANOR INC","MIAMI BEACH","Miami-Dade","30","1","1","$1,600.00","12","0","2","10","0","0","1","None","5","Games/Cards|Music Programs|Shopping|Social Events/Outings|Theater and Movies","NR","NR"
"NINA'S HOUSE ALF INC","TAMPA","Hillsborough","6","0","0","$0.00","4","0","0","4","0","0","1","Direct 24hr","7","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","1","Pet Therapy"
"NINI'S TLC CORP","TAMPA","Hillsborough","6","0","0","$0.00","2","0","0","2","0","0","1","Direct 24hr","5","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Theater and Movies","2","Memory Care|Pet Therapy"
"NOA ALF LLC","HOMESTEAD","Miami-Dade","6","0","0","$0.00","6","0","0","5","0","1","1","None","4","Arts and Crafts|Dancing|Exercise Classes|Games/Cards","NR","NR"
